Date, Price
Nov 25, 2016:19.84
Mar 12, 2014;17.67
Mar 11, 2014;18.03
Mar 10, 2014;18.22
Mar 07, 2014;18.01
Mar 06, 2014;18.32
Mar 05, 2014;18.23
Mar 04, 2014;17.74
Mar 03, 2014;17.80
Feb 28, 2014;16.47
Feb 27, 2014;17.44
Feb 26, 2014;17.29
Feb 25, 2014;17.34
Feb 24, 2014;17.41
Feb 21, 2014;16.72
Feb 20, 2014;16.33
Feb 19, 2014;16.46
Feb 18, 2014;16.16
Feb 14, 2014;15.63
Feb 13, 2014;15.66
Feb 12, 2014;15.81
Feb 11, 2014;15.46
Feb 10, 2014;15.64
Feb 07, 2014;15.73
Feb 06, 2014;15.85
Feb 05, 2014;16.10
Feb 04, 2014;16.06
Feb 03, 2014;15.74
Jan 31, 2014;15.55
Jan 30, 2014;14.99
Jan 29, 2014;14.74
Jan 28, 2014;15.02
Jan 27, 2014;14.80
Jan 24, 2014;15.11
Jan 23, 2014;15.04
Jan 22, 2014;15.03
Jan 21, 2014;15.22
Jan 17, 2014;15.22
Jan 16, 2014;15.45
Jan 15, 2014;15.23
Jan 14, 2014;15.49
Jan 13, 2014;15.60
Jan 10, 2014;15.57
Jan 09, 2014;15.48
Jan 08, 2014;15.74
Jan 07, 2014;16.06
Jan 06, 2014;16.08
Jan 03, 2014;16.08
Jan 02, 2014;16.29
Jan 01, 2014;16.47
Dec 31, 2013;16.41
Dec 30, 2013;16.38
Dec 27, 2013;16.43
Dec 26, 2013;16.29
Dec 24, 2013;16.21
Dec 23, 2013;16.23
Dec 20, 2013;16.45
Dec 19, 2013;16.15
Dec 18, 2013;15.89
Dec 17, 2013;15.96
Dec 16, 2013;16.27
Dec 13, 2013;16.27
Dec 12, 2013;16.30
Dec 11, 2013;16.51
Dec 10, 2013;16.62
Dec 09, 2013;16.55
Dec 06, 2013;16.59
Dec 05, 2013;16.69
Dec 04, 2013;16.68
Dec 03, 2013;16.81
Dec 02, 2013;16.97
Nov 29, 2013;17.15
Nov 27, 2013;17.22
Nov 26, 2013;17.30
Nov 25, 2013;17.32
Nov 24, 2013;17.48
Nov 22, 2013;17.40
Nov 21, 2013;17.51
Nov 20, 2013;17.60
Nov 19, 2013;17.65
Nov 18, 2013;17.75
Nov 15, 2013;17.55
Nov 14, 2013;17.64
Nov 13, 2013;17.80
Nov 12, 2013;17.87
Nov 11, 2013;17.97
Nov 08, 2013;18.08
Nov 07, 2013;18.04
Nov 06, 2013;18.10
Nov 05, 2013;18.26
Nov 04, 2013;18.32
Nov 01, 2013;18.25
Oct 31, 2013;18.32
Oct 30, 2013;18.32
Oct 29, 2013;18.45
Oct 28, 2013;18.91
Oct 25, 2013;19.03
Oct 24, 2013;18.97
Oct 23, 2013;19.28
Oct 22, 2013;19.45
Oct 21, 2013;19.42
Oct 18, 2013;19.50
Oct 17, 2013;19.00
Oct 16, 2013;19.01
Oct 15, 2013;18.70
Oct 14, 2013;19.05
Oct 11, 2013;18.93
Oct 10, 2013;18.72
Oct 09, 2013;18.59
Oct 08, 2013;18.62
