Date, Index
Dec 26, 2014;90.31
Dec 24, 2014;90.22
Dec 23, 2014;90.33
Dec 22, 2014;89.95
Dec 19, 2014;89.84
Dec 18, 2014;89.48
Dec 17, 2014;89.33
Dec 16, 2014;88.30
Dec 15, 2014;88.57
Dec 12, 2014;88.34
Dec 11, 2014;88.68
Dec 10, 2014;88.29
Dec 09, 2014;88.69
Dec 08, 2014;89.05
Dec 05, 2014;89.36
Dec 04, 2014;88.73
Dec 03, 2014;88.99
Dec 02, 2014;88.70
Dec 01, 2014;87.98
Nov 28, 2014;88.41
Nov 27, 2014;87.65
Nov 26, 2014;87.65
Nov 25, 2014;87.96
Nov 24, 2014;88.21
Nov 21, 2014;88.41
Nov 20, 2014;87.67
Nov 19, 2014;87.71
Nov 18, 2014;87.64
Nov 17, 2014;88.01
Nov 14, 2014;87.59
Nov 13, 2014;87.75
Nov 12, 2014;87.91
Nov 11, 2014;87.72
Nov 10, 2014;87.91
Nov 07, 2014;87.73
Nov 06, 2014;88.13
Nov 05, 2014;87.57
Nov 04, 2014;87.09
Nov 03, 2014;87.41
Oct 31, 2014;87.02
Oct 30, 2014;86.23
Oct 29, 2014;86.04
Oct 28, 2014;85.47
Oct 27, 2014;85.56
Oct 24, 2014;85.82
Oct 23, 2014;85.95
Oct 22, 2014;85.85
Oct 21, 2014;85.40
Oct 20, 2014;85.04
Oct 17, 2014;85.21
Oct 16, 2014;85.04
Oct 15, 2014;85.24
Oct 14, 2014;85.94
Oct 13, 2014;85.73
Oct 10, 2014;86.03
Oct 09, 2014;85.66
Oct 08, 2014;85.41
Oct 07, 2014;85.78
Oct 06, 2014;86.04
Oct 03, 2014;86.82
Oct 02, 2014;85.69
Oct 01, 2014;86.08
Sep 30, 2014;86.05
Sep 29, 2014;85.72
Sep 26, 2014;85.77
Sep 25, 2014;85.30
Sep 24, 2014;85.16
Sep 23, 2014;84.78
Sep 22, 2014;84.86
Sep 19, 2014;84.86
Sep 18, 2014;84.43
Sep 17, 2014;84.49
Sep 16, 2014;84.23
Sep 15, 2014;84.25
Sep 12, 2014;84.24
Sep 11, 2014;84.30
Sep 10, 2014;84.29
Sep 09, 2014;84.28
Sep 08, 2014;84.24
Sep 05, 2014;83.76
Sep 04, 2014;83.83
Sep 03, 2014;82.89
Sep 02, 2014;83.01
Sep 01, 2014;82.78
Aug 29, 2014;82.78
Aug 28, 2014;82.52
Aug 27, 2014;82.45
Aug 26, 2014;82.68
Aug 25, 2014;82.59
Aug 22, 2014;82.38
Aug 21, 2014;82.21
Aug 20, 2014;82.28
Aug 19, 2014;81.94
Aug 18, 2014;81.63
Aug 15, 2014;81.47
Aug 14, 2014;81.65
Aug 13, 2014;81.66
Aug 12, 2014;81.56
Aug 11, 2014;81.53
Aug 08, 2014;81.45
Aug 07, 2014;81.61
Aug 06, 2014;81.51
Aug 05, 2014;81.61
Aug 04, 2014;81.41
Aug 01, 2014;81.38
Jul 31, 2014;81.52
Jul 30, 2014;81.52
Jul 29, 2014;81.31
Jul 28, 2014;81.12
Jul 25, 2014;81.12
Jul 24, 2014;80.96
Jul 23, 2014;80.92
Jul 22, 2014;80.86
Jul 21, 2014;80.63
Jul 18, 2014;80.59
Jul 17, 2014;80.57
Jul 16, 2014;80.62
Jul 15, 2014;80.45
Jul 14, 2014;80.23
Jul 11, 2014;80.23
Jul 10, 2014;80.17
Jul 09, 2014;80.04
Jul 08, 2014;80.22
Jul 07, 2014;80.27
Jul 04, 2014;80.28
Jul 03, 2014;80.28
Jul 02, 2014;79.98
Jul 01, 2014;79.84
Jun 30, 2014;79.81
Jun 27, 2014;80.09
Jun 26, 2014;80.28
Jun 25, 2014;80.27
Jun 24, 2014;80.39
Jun 23, 2014;80.34
Jun 20, 2014;80.44
Jun 19, 2014;80.40
Jun 18, 2014;80.67
Jun 17, 2014;80.72
Jun 16, 2014;80.47
Jun 13, 2014;80.66
Jun 12, 2014;80.59
Jun 11, 2014;80.81
Jun 10, 2014;80.85
Jun 09, 2014;80.68
Jun 06, 2014;80.43
Jun 05, 2014;80.40
Jun 04, 2014;80.71
Jun 03, 2014;80.59
Jun 02, 2014;80.69
May 30, 2014;80.40
May 29, 2014;80.54
May 28, 2014;80.62
May 27, 2014;80.41
May 26, 2014;80.45
May 23, 2014;80.45
May 22, 2014;80.31
May 21, 2014;80.15
May 20, 2014;80.09
May 19, 2014;80.05
May 16, 2014;80.11
May 15, 2014;80.06
May 14, 2014;80.14
May 13, 2014;80.21
May 12, 2014;79.97
May 09, 2014;79.96
May 08, 2014;79.40
May 07, 2014;79.24
May 06, 2014;79.13
May 05, 2014;79.53
May 02, 2014;79.56
May 01, 2014;79.58
Apr 30, 2014;79.53
Apr 29, 2014;79.88
Apr 28, 2014;79.76
Apr 25, 2014;79.82
Apr 24, 2014;79.88
Apr 23, 2014;79.94
Apr 22, 2014;80.00
Apr 21, 2014;80.03
Apr 17, 2014;79.90
Apr 16, 2014;79.88
Apr 15, 2014;79.89
Apr 14, 2014;79.81
Apr 11, 2014;79.52
Apr 10, 2014;79.45
Apr 09, 2014;79.55
Apr 08, 2014;79.83
Apr 07, 2014;80.36
Apr 04, 2014;80.57
Apr 03, 2014;80.64
Apr 02, 2014;80.37
Apr 01, 2014;80.25
Mar 31, 2014;80.25
Mar 28, 2014;80.33
Mar 27, 2014;80.25
Mar 26, 2014;80.17
Mar 25, 2014;80.09
Mar 24, 2014;80.08
Mar 21, 2014;80.26
Mar 20, 2014;80.35
Mar 19, 2014;80.13
Mar 18, 2014;79.54
Mar 17, 2014;79.31
Mar 14, 2014;79.44
Mar 13, 2014;79.63
Mar 12, 2014;79.61
Mar 11, 2014;79.73
Mar 10, 2014;79.77
Mar 07, 2014;79.72
Mar 06, 2014;79.67
Mar 05, 2014;80.12
Mar 04, 2014;80.18
Mar 03, 2014;80.09
Feb 28, 2014;79.72
Feb 27, 2014;80.31
Feb 26, 2014;80.46
Feb 25, 2014;80.17
Feb 24, 2014;80.22
Feb 21, 2014;80.27
Feb 20, 2014;80.32
Feb 19, 2014;80.19
Feb 18, 2014;80.05
Feb 17, 2014;80.18
Feb 14, 2014;80.18
Feb 13, 2014;80.38
Feb 12, 2014;80.74
Feb 11, 2014;80.70
Feb 10, 2014;80.73
Feb 07, 2014;80.76
Feb 06, 2014;81.00
Feb 05, 2014;81.13
Feb 04, 2014;81.22
Feb 03, 2014;81.11
Jan 31, 2014;81.40
Jan 30, 2014;81.19
Jan 29, 2014;80.58
Jan 28, 2014;80.66
Jan 27, 2014;80.61
Jan 24, 2014;80.54
Jan 23, 2014;80.53
Jan 22, 2014;81.31
Jan 21, 2014;81.23
Jan 20, 2014;81.36
Jan 17, 2014;81.36
Jan 16, 2014;81.02
Jan 15, 2014;81.14
Jan 14, 2014;80.76
Jan 13, 2014;80.61
Jan 10, 2014;80.75
Jan 09, 2014;81.14
Jan 08, 2014;81.16
Jan 07, 2014;80.98
Jan 06, 2014;80.81
Jan 03, 2014;80.95
Jan 02, 2014;80.79
Jan 01, 2014;80.29
Dec 31, 2013;80.19
Dec 30, 2013;80.12
Dec 27, 2013;80.54
Dec 26, 2013;80.65
Dec 24, 2013;80.67
Dec 23, 2013;80.62
Dec 20, 2013;80.75
Dec 19, 2013;80.79
Dec 18, 2013;80.25
Dec 17, 2013;80.21
Dec 16, 2013;80.05
Dec 13, 2013;80.22
Dec 12, 2013;80.21
Dec 11, 2013;79.89
Dec 10, 2013;79.96
Dec 09, 2013;80.14
